scenario_id,candidate_id,inner_angle_deg,outer_angle_deg,current_angle_deg,ia_a,ib_a,ic_a,raw_gap_torque_nm,comparison_torque_nm
phase_m3,final_high_tavg,9,0,33.0,2.935346987808984,0.1831758468503039,-3.118522834659287,-1.792071618469188,3.584143236938376
phase_m3,final_high_tavg,12,0,45.0,2.4748737341529163,0.9058666578588226,-3.380740392011739,-1.296119508774718,2.592239017549436
phase_m3,final_high_tavg,15,0,57.0,1.9062366225525949,1.5889667490884138,-3.4952033716410082,-1.640368492675581,3.280736985351162
phase_m1,low_tavg,0,0,-1.0,3.4994669330473696,-1.80263326218519,-1.6968336708621794,-0.7974017544666746,1.5948035089333492
phase_m1,low_tavg,3,0,11.0,3.435695142066824,-1.1394885406000483,-2.2962066014667752,-0.9869228987212245,1.973845797442449
phase_m1,low_tavg,6,0,23.0,3.2217669870835413,-0.4265427019180158,-2.795224285165525,-0.839443443301051,1.678886886602102
phase_m1,low_tavg,9,0,35.0,2.8670321550114712,0.3050450996168035,-3.1720772546282747,-0.8674603789881772,1.7349207579763544
phase_m1,low_tavg,12,0,47.0,2.386994260218745,1.0233009665295787,-3.410295226748323,-0.6665325672992107,1.3330651345984215
phase_m1,low_tavg,15,0,59.0,1.8026332621851895,1.6968336708621798,-3.4994669330473696,-0.7962586164059101,1.5925172328118202
phase_m1,median_tavg,0,0,-1.0,3.4994669330473696,-1.80263326218519,-1.6968336708621794,-1.672694026169373,3.345388052338746
phase_m1,median_tavg,3,0,11.0,3.435695142066824,-1.1394885406000483,-2.2962066014667752,-1.471777706921991,2.943555413843982
phase_m1,median_tavg,6,0,23.0,3.2217669870835413,-0.4265427019180158,-2.795224285165525,-1.446726055117407,2.893452110234814
phase_m1,median_tavg,9,0,35.0,2.8670321550114712,0.3050450996168035,-3.1720772546282747,-1.541664304217984,3.083328608435968
phase_m1,median_tavg,12,0,47.0,2.386994260218745,1.0233009665295787,-3.410295226748323,-1.550029567540431,3.100059135080862
phase_m1,median_tavg,15,0,59.0,1.8026332621851895,1.6968336708621798,-3.4994669330473696,-1.673315087846557,3.346630175693114
phase_m1,high_tavg,0,0,-1.0,3.4994669330473696,-1.80263326218519,-1.6968336708621794,-1.961824034702497,3.923648069404994
phase_m1,high_tavg,3,0,11.0,3.435695142066824,-1.1394885406000483,-2.2962066014667752,-1.965628327249466,3.931256654498932
phase_m1,high_tavg,6,0,23.0,3.2217669870835413,-0.4265427019180158,-2.795224285165525,-2.010879791129461,4.021759582258922
phase_m1,high_tavg,9,0,35.0,2.8670321550114712,0.3050450996168035,-3.1720772546282747,-1.744772740190596,3.489545480381192
phase_m1,high_tavg,12,0,47.0,2.386994260218745,1.0233009665295787,-3.410295226748323,-1.817024017102544,3.634048034205088
phase_m1,high_tavg,15,0,59.0,1.8026332621851895,1.6968336708621798,-3.4994669330473696,-1.964799387884288,3.929598775768576
phase_m1,final_low_tavg,0,0,-1.0,3.4994669330473696,-1.80263326218519,-1.6968336708621794,-1.523769944115608,3.047539888231216
phase_m1,final_low_tavg,3,0,11.0,3.435695142066824,-1.1394885406000483,-2.2962066014667752,-1.769980459192149,3.539960918384298
phase_m1,final_low_tavg,6,0,23.0,3.2217669870835413,-0.4265427019180158,-2.795224285165525,-1.409165991522279,2.818331983044558
phase_m1,final_low_tavg,9,0,35.0,2.8670321550114712,0.3050450996168035,-3.1720772546282747,-1.594083418282752,3.188166836565504
phase_m1,final_low_tavg,12,0,47.0,2.386994260218745,1.0233009665295787,-3.410295226748323,-1.344012616705289,2.688025233410578
phase_m1,final_low_tavg,15,0,59.0,1.8026332621851895,1.6968336708621798,-3.4994669330473696,-1.525284795612012,3.050569591224024
phase_m1,final_high_tavg,0,0,-1.0,3.4994669330473696,-1.80263326218519,-1.6968336708621794,-1.748904944730381,3.497809889460762
