candidate_id,generation,candidate_order,chromosome_hash,rejection_reasons,chromosome_180,created_at
C000012,1,12,a6ccc5e9ab5a9e9ed894a8dee551b16bf54304898a4e9cba2d0da86795e40d70,"[""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:46.280+02:00
C000013,1,13,a0666044ed0701daafa0d906d3d4c5c1c0820979cd4e1b9e2962c6767d7013fb,"[""FLOATING_IRON""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,1,0,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:46.365+02:00
C000014,1,14,6ba3f63897f98f10200f8446866ce532844720c96eebb38516bd0f46116bc38c,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,1,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1]",2026-08-07T00:08:46.453+02:00
C000015,1,15,9f0d1742cae6a42d5f2dc0de786822bd40fd4b209d9254bb17cf8a6a03452f66,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,0,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,2,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,1,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:46.539+02:00
C000016,1,16,ffc8057dece3c9f912a53bfae25d6d4e68bdbdf8407cd0b35921c7311cbe718f,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,1,2,2,0,0,1,1,1,1,1,0,0,1,1,2,1,1,1,1,1,1,1,0,2,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2]",2026-08-07T00:08:46.625+02:00
C000017,1,17,d9bf379b2a666fb48693014931d1ec9f5efdb448bde1d44c40daec7085133d00,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,1,2,1,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:46.709+02:00
C000018,1,18,5108950c33d9245f247fb259a2e6edb99007894b41875b7f157ee3301b40b182,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,2,1,0,2,1,2,0,0,1,1,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:46.794+02:00
C000019,1,19,5d8139647018be8089447de3d3a433cafa703797d51a236cae1d1292d2b5cabb,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",2026-08-07T00:08:46.880+02:00
C000020,1,20,f97faa8b1eac2a9019c0745f2ec3db264079c54dfd6efa45cd192ef075d8b4e8,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,1,2,2,2,0,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",2026-08-07T00:08:46.970+02:00
C000021,1,21,1e08c84467fd321e5f123f559a2d4e7346c49cb2455491336007e54b5d65f4c0,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2,2,2,0,1,2,1,1,1,0,2,2,2,0,1,1,0,1,0,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,1,2,2,2,0,1,1,1,1,2,2,2,2,0,0,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1]",2026-08-07T00:08:47.067+02:00
C000022,1,22,6db153110f4c0f84173beb88cae552e2fb23687e2b8e40ab06b67791fda2b4fb,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,2,1,1,2,1,1,1,2,1,0,1,1,1,1,1,1,0,2,2,0,0,0,0,0,1,2,1,1,1,0,2,2,1,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,2,0,2,2,2,0,0,1,0,1,1,2,2,0,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,2,2,0,0,1,2,1,1,2,2,2,0,2,0,1,1,1,1,2,1,2,0,0,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:47.158+02:00
C000023,1,23,5bbe71621c9f827e2348cb49a0a9b22cfa8a0ab65d19fdea5821f10ae613c1b8,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,2,0,1,1,1,1,0,1,1,1,2,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,2,1,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,0,0,0,1,0,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,0,0,2,0,1,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:47.247+02:00
C000024,1,24,b4e1812425cb61e287a5e196b7ff8434f95c059815c086d149bce68b3da5b613,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,2,2,1,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,2,0,2,2,2,0,0,1,0,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,1,2,2,2,0,1,1,1,1,2,1,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,2,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,1]",2026-08-07T00:08:47.343+02:00
C000025,1,25,529b29afa3a420b77ee342bc714ca3470daa7b6f10ade56c269a41dd58cb9e3e,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,1,1,2,2,0,2,0,1,1,0,1,1,0,2,2,2,0,1,0,1,2,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,2,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,2,2,0,2,1,1,1,2,0,2,0,1,0,1,1,1,0,2,2,2,2,2,0,1,1,0,1,2,2,2,2,2,0,2,1,1,1,0,2,2,0,0,1,1,1,2,1,0,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1]",2026-08-07T00:08:47.430+02:00
C000026,1,26,acfbf0a4ae3b993c942bacc6d603fda6a14b94d48a37e6503cacd3e991081ec5,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,1,1,2,1,1,0,2,2,2,0,1,0,0,1,1,0,2,2,2,0,1,0,1,1,1,0,1,2,2,0,0,1,0,1,1,2,2,0,2,2,2,1,2,2,1,1,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,0,2,2,0,1,1,2,1,2,0,2,2,1,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,0,2,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0]",2026-08-07T00:08:47.518+02:00
C000027,1,27,cdef02898afcc2cf5e9aba032474ceb277382ded93e55bf7baff7388d30adc91,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,2,1,2,0,1,1,1,1,2,0,0,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,1,2,2,2,2,1,1,0,1,2,1,1,2,2,0,1,1,0,1,2,2,2,2,2,1,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,1,0,1,0,1,0,2,1,2,2,0,0,0,1,1,1,2,0,0,0,1,0,1,1,1,1,2,1,1,1,0,2,1,1,1,1,2,1,0,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1]",2026-08-07T00:08:47.608+02:00
C000028,1,28,a00b9a32a8c31f6ce6ade8ad0424651282a63d40f7f381187d2bf47431b22438,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,1,1,2,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,2,1,1,1,0,2,1,2,0,2,1,1,2,1,1,2,1,2,0,1,1,1,1,1,0,2,2,1,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,1,1,2,1,2,1,1,1,0,2,1,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,0,1,1,2,2,2,2,2,0,2,1,1,1,2,2,1,0,2,0,2,0,0,1,2,0,2,0,0,1,1,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1]",2026-08-07T00:08:47.697+02:00
C000029,1,29,40a4bdd5fab36f5a990595c7e85fcd19c406b5cd4d936d914e20a793bca600f6,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,1,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,2,2,0,2,1,1,1,1,1,1,0,1,2,2,0,1,2,1,1,2,0,2,1,0,0,0,1,1,1,1,2,2,1,2,0,1,1,1,0,1,2,2,1,2,2,0,1,1,1,1,2,2,1,2,1,0,1,1,2,1,2,0,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,0,1,1,2,2,2,2,0,2,1,1,0,2,2,2,2,2,1,0,1,0,1,1,2,2,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,0,1,0,1,2,1,1,1,1,1]",2026-08-07T00:08:47.787+02:00
C000030,1,30,8206e37a99be0deddee7ff77d8d9015456eae63c5ddbe60638a88ece4ce53b8e,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]","[0,0,1,1,2,1,1,1,0,1,0,1,2,1,1,1,2,1,1,0,0,0,0,2,0,1,0,1,0,2,0,0,2,2,0,2,1,1,1,1,0,2,2,2,1,1,1,1,1,0,0,2,0,2,2,0,1,2,1,1,0,2,2,2,2,0,0,1,1,1,1,0,2,2,2,0,1,1,0,1,2,2,0,2,2,1,1,1,1,2,2,2,2,2,0,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,0,2,0,0,1,1,1,0,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,1,2,2,1,0,2,1,1,1,1,2,2,1,1,2,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0]",2026-08-07T00:08:47.873+02:00
