rank,index,gene_id,distance_squared,cluster_sum,region_center_gene_id
37,2430,b1e0c3ff8d4adde971078be619bcecac1f06a2a0c5932d8fea9b1e5e4cf1ec80,0.1191465208457019,20.75860470562575,337074005c5644a3fc6f6b670ebf37d65f8777aa19ae00a6b038a562ba39cdf2
38,45556,65d502254c16eee1209ff62bdf56536a750278120d2511065dd482826e16e290,0.20724178391177675,20.697894954225028,0622f5d8fc14c9ce45217e1b2de990a32cbdda24eb536d556d5897cd35c972e4
39,43173,1e16a52420e4a96ac06864db16bc4d21e512355f147fd473da9b68c06ef55958,0.1176084073101471,20.525755582861677,399e848a0088de285f18a65e5179e62b2035d049d9f9c3fdd00ec1c72ee1555d
40,27550,8aa221ee5d0710a9c637f8ce5d783c7d3b1de30faa02cecc95ecb5b1665ed3a2,0.09259132254215163,20.45484514833094,f5ed871af7f72db1667b626260c1bfe43496e550273871e26efddf28a3fd4d81
41,51277,43e315073299596c5e659dac4d754796d079dab325014d3cad271da7fddc82e5,0.09150181519566192,20.31166735086881,7c6621440bbb1c46bcc9d5cfb61cdb86273950e13acf3ec33f0c731224ad5ac9
42,18171,04f5757d0ae80d16303cab8a5d669b993fcd00edf7e78a912f213be0497c5e03,0.1743972810708962,20.252416718614242,5ab2ab8ecb32454c9f79ed21321f4d369e091ab7aa3210c490cd7ea99a21b221
43,57992,572666b0947bf819d62268b3abe8db21518d527b173d9751c57e27d35383737c,0.49259238859461063,19.774328562110494,20aa6eb29b721b10c4cef27ec765bc43587a684604e8ea987ade6bc1cb7df0b0
44,32274,6c718dc302f745547b7cd08cb9a283addb69789d9357536342bd42c1bcadf8d3,0.2913428924339314,19.695065539817104,0d61b992d1081b431b1a088f6ec1f64d647e182604bf26e22465af251fedf793
45,32723,4f2a5e775a4409d6a8374c09bfae0763b05a7a7482466866b5c2926a45993c42,0.24228375026248666,19.581035426656843,a60c620ad8ae4cc8e0488984ca1c8b54974008ff2c244ec7ee3929c99baa26e4
46,47352,886b3da454875290a5509bb05d86567f518a76eb3e1312f3abd5941227f06c65,0.1149656376548749,19.023570313614453,d4ac93658cdcb2209d4140892e2ad43202bd0f0e6d86b1741878b2902055a86a
47,40990,d90430274d93cb7f732c5078331b2887c94f623f62c2c47e306f411bafe6c463,0.11950533898040676,18.854626351140784,799eda4f8ba147faf66852fdadf0c51eee3fb288a885bac5528c8e98ae38885b
48,67460,cbf2fd12673766b69c4febb5eb0353d54429dc7f2d11068515951d5f056a1cb2,0.17600482240908383,18.740286507909268,31da8b6e837cbd13adf68ffd34810ed0bf29ab198aee45733c5c63f56af407f0
49,22690,f8519da373b0e66207b0ab08756c8f0c7541c8b7056264bd4a38d9882746903f,0.15929240297426372,18.660160831814178,44a07689cb573419bdcd6f402fad7721f13ada7ec5b0caa76993284d11d32752
50,92565,961072f2e9b0dc1d8d2741eb3769b63956e9630a77b254a742471d7eb5020ac8,0.12121900913299874,17.37566579641571,4b7027ba8a134332f97b8fd745ccd1486acfd8277971600ea421c06ce3bf904e
51,27897,94b0bc4b4411de272fa606133a48ec86e00e8f86a2606509eeeb6494a39c1d83,0.06631522445595393,17.348623119437534,601fada0be954ddca55ddc6d8435bb40f9178f568daf1f4ccafb5e56edd4186c
52,65699,30f2a860b0faa1bfc2d8f70859468afab4ab45018c0670cbd0089022f39dad6f,0.46078835629772835,16.935599388786375,f6034fdd582ff31c571bbc7253ea11fd788f63d36a790f03b768919d9039ec82
53,5,4f0e3b3b230194378a63afe5530d4a3737fc11d3369b0a59d13d9fa1a361f07a,0.0810094760518533,16.75091844801382,f79fd7c463a4a4deb8a3aafad375b478c47fecbd27dd65a22a1ec71108b17331
54,63047,db4e224a97190bb84aabd4e13aad52764808a1dc9ff24f07580be6af706559ee,0.19870344429234116,16.696932568088226,c6b820212cacc6d0f65e883428d85ee37ade18c4d548b52dffb9b17ebd35f37f
55,73228,1ccf8fc26aa2273c59571974ebf91ac7458a8612ad0cd85eb77da73a0f7268fd,0.40300480512391434,16.581611514083605,c7b670bf23281b719b0bf7f935f0d0135122325a4b700dee28d195800836765e
56,36366,e5446c788d041e1cd47bc0f727269f6222288b76a1a5a22b27005ddb65eaab64,0.07215724916857755,16.519440856329627,9e7b8d4395a1567cbea91c2dbb86f6e6592fe48bfc3b0661ea55264af792d0a1
57,12292,1934564d47842a63794751511a2bca617aa03129c5a7e4483f16d9e99cc785a7,0.09157775662009379,16.446232177833405,6ac3cbf7a0e236ebb8dac4dd98bed14be098b5a3e435c0b1d52eb2b8963f6319
58,61427,f18aa472817e1a14acfa3697f2032e770e2ec9eb229ea47acf9b7638afaeeee7,0.07548749908826839,16.03092766739694,7c6621440bbb1c46bcc9d5cfb61cdb86273950e13acf3ec33f0c731224ad5ac9
59,85806,2b73e3366b3d05945c319a8cd4bafa098805c10798feb522196d28232aa7c650,0.12399266615007598,15.866281947613997,f6bcf1bcf5cc7d906db1da83138414c4a0f8802865623c936510522b6e150d43
60,27060,d58480743dddb3d7056cffe745053f031b45219aa67064fea688818593be3fd7,0.1106529898344149,15.797290468899634,399e848a0088de285f18a65e5179e62b2035d049d9f9c3fdd00ec1c72ee1555d
61,66627,cdd98703ff7da3ebf7b84a34c17e7d5b65af2c72eb30b0c98c1e1069c98a5e62,0.3523340946731779,15.749212937102078,1c4036211dd56f8daee4b7d1f34fbfc5cc7981812b3e3f8cb8ee8d41167ce92b
62,67934,4d36a98b871896e70389def6c054e3c0a604863a45efda3716be35e734a1bbf6,0.34116675340282676,15.609167850665175,b47bc6eaa80684f3cecfd6638469f28188e3ce3e797d45c0600ab04bf7ea62f4
63,42807,362d4c82319594ad13aa0ba5db601f52a978949fd9f2388fc4c417e561450c2a,0.13339289243984292,15.58586550892108,73a951cb0eaf0ce7b0fcc381e78c176805e0e634a65561f7876f589c21425332
64,38936,fd70bd37c44a1adb4d1ed69525e566031b90c7d6c1d7e9a5b64992cdf9dfc13b,0.09860224208589104,15.407149714740605,e0383ecc4bf409c79aa253c96b29a059eef7e6d0758e1b8bccdbae7b8b68f6eb
65,5361,9e34006d5411b8b3b62527ee100abf9400c9ef3348ccf3bc24eafe8f00d72d59,0.11120422334208852,14.807879499340942,02217d86f27a2c1c657654dca880b5df448d1408f28802b92240e64d6db3bee2
66,44295,f000e48de751359a27eaecbf4a6cd2aeccd7a0912f762cde08ee828f15506b3f,0.27455175393460685,14.751955292670871,ad826cefacaa6aeb7ff9cf505ed19c8a9cd03986310a5a619fd9150095e1ba64
67,70294,d4ba811b12db00c31a6823078d552e2b2d7907e8e75d2a8e6d3a74281306d72f,0.09479659582689295,14.743613068024633,6ac9a3938c59fb891dc88064c023558679c70a7ae833cc8170d64b4f83aa92cc
68,43504,d4b7941dcda38dca8674c4c5fdabf0ad26b50489be45829859d7f335070bf088,0.07566370254211904,14.666196634157334,f5ed871af7f72db1667b626260c1bfe43496e550273871e26efddf28a3fd4d81
