gene_id,bits,source,old_index,repair_component_id,f1_actually_trained,tavg_nm,delta_t_nm,selection_method,selection_rank,selection_distance_squared
4cd337ef712159d3be48093b00bbd9bbe9a9e32a14e43e762abb00f50f1a5e72,011011101110011100100001110101101010011011111111111110111011111111011001111111011111101111110011101101110011000100101111,old_train,20557,20557,True,3.2832523581655004,0.5863364388692562,f1_F_LCMD_old40000,1281,0.0051143626708696314
569835745bfa2f890807461fc9a05c876c9b32b9e8699976ffb10333c9cff141,110101111011100110011011111110111111110001111100000100111001101001001110110110111011000100101101010111101111000100001101,old_train,45938,45937,True,2.6254950783979414,0.580875559852438,f1_F_LCMD_old40000,1282,0.010746622006031577
cee6113687b9fe7cf1d72f1a5c29f337bc05500a7771cf68e340b301849a29c1,100010011111111111001110000011101000111111101111010110110111110110101111111111011110111111101101111011011111000000111011,old_train,25553,25553,True,3.2347882107599433,0.2909175683261913,f1_F_LCMD_old40000,1283,0.003855436440317155
970ce349c8baefab8bc58ee52122a41ad7fb748617a217467c803e547c95e555,011010010101010101011110000111010011011111101101101111111111101111111100011111111000111111101101111111110011010100101101,old_train,17174,17174,True,3.241609766644848,0.3776257503116067,f1_F_LCMD_old40000,1284,0.008460033924270794
49fb78f1ee38d1397065474c167a4e12ad79fc773c04ef4f7f2b5592182515fe,111011100100100001000111001111011001110111111111101111111111101110111101111111111011101101111011111110101111010011100111,old_train,53144,53141,True,3.442283504791842,0.18802251518314783,f1_F_LCMD_old40000,1285,0.03438206010839548
1aba161509c845f9b22d2512679039ec139e96f7ea35aed61a757549697c20b3,111000001110111001110011001111100111000011011111001110111111101101111001111001111111000011010111011101110101100001110110,old_train,49337,49335,True,2.951753910329419,0.20719053522436592,f1_F_LCMD_old40000,1286,0.0036445737313162336
e02b0e3ef04dfbaa08fd325e026d1645dbb2abcbc9ad506c5424be21fbb5cc08,110100011100111010011111111100001000111111110111101110110111110110101111111111111000111111111011001110110011110000101111,old_train,42310,42310,True,3.243218253262551,0.17284285817591094,f1_F_LCMD_old40000,1287,0.03271687627900568
4c4946b4ed59c5f7cc25a88d2c7f587a3f45477114131b690622d0a10890c0aa,001001001110010000010111101011011111000110101010101000111111110100010111100110111111111100000000111111001101110100101001,old_train,3988,3992,True,2.6316592529203686,0.46884606296348785,f1_F_LCMD_old40000,1288,0.006350950003656668
14bd3dc18b6de19ade48b10bbf7acbee590bb0a53ef9dc40fe288408e39ddeac,110101110001001101010110011101100111000110000001111100111110101101111111110011111111000011101101101111111011101011101011,old_train,44868,44868,True,3.021724940390006,0.35298586505322094,f1_F_LCMD_old40000,1289,0.003470551612749809
1a3d7667b76c64bd4180a877c85d9dc399d3dc1dea803ac4ee090b209762552e,011010100101010100001100010101111001000000011101001001110000001101111111110000000110111110111011000011010000001110100000,old_train,17895,17895,True,2.128575448183841,0.518263830161618,f1_F_LCMD_old40000,1290,0.004183337987233431
dcfde68bf87ec655f3a1f2d901a58a4c5779517fe264dcf48dd48f5c64c12dbd,011110110101001001111000000111011001111111111111100111111111100110111111111111111110111111111101111110110111100101111011,old_train,22294,22294,True,3.558662603637933,0.21590783565167726,f1_F_LCMD_old40000,1291,0.008771873118435147
a725def0fa1b54a52353b362c8f101dc7bb14d57e6494f6a2c53dd8d0d68d381,101101111001011010000111000111011001011111110111111111111110110111111100111111101000101111101101001110111001101010101101,old_train,36436,36436,True,3.1259084026562753,0.239853964846938,f1_F_LCMD_old40000,1292,0.005362022478753692
6869c01aeac47d0cf897c86c77f79935b5981bedc41707d9e840493a66b9c529,010101011110110011100110111111111100011111111101000111110000111111011101111100111011101101011011001010011011010011101011,old_train,13293,13293,True,2.9894729164688414,0.5295882592087122,f1_F_LCMD_old40000,1293,0.006547311434451091
