gene_id,split_role,inner_angle_deg,rotor_travel_deg,A,B,C,raw_torque_nm,fem_sha256,ans_sha256
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,32.0,3.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,1.141340300969353,d75a98259335f3b0162b4594be2bb5dc60cbff583fa0bd88f9c896ba6ace9bc6,4c0627e364baf6bc696e3e65eb792a8d9824b1a4da8a1a2e856add58b8a3312a
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,35.0,6.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,0.9673290483052025,d02aeb39b18ed0e5a5a77e9d8b44d0a2ff83521288eb6e105ec924b0eb30b2e2,f4be24fe683bed7a804d1354d2b348e56d9f4c428daea3fb9639d1478d76808d
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,38.0,9.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,0.8675895185445743,2de0a75b7d52be71be0930369a5f60e221b766438e56d8aa6520e75c4d08fb9d,441b7d9743a6067a14141d55440bb3ca8dabb4033e0f31061a955f2aa682af62
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,41.0,12.0,2.341957122256004,1.081559480312316,-3.42351660256832,0.9841978113344645,df100fd2f45a7f5716f87d0a86dbcfd6880b488e3b44c8e2778f75d73cdcf168,b0431f3fa012840b2dd04b3b322b73e85b6da42a99524fdef91d2c1144cf3d3a
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,44.0,15.0,1.7500000000000004,1.7500000000000004,-3.5,1.162563534438231,726a6552232b7af74b954d90e072e347eeb868ab6a3fd6618782dd0de56162ad,f22e000a195feb063cb685c5803b3f50f579e59103bb1ea978837f48beab8a77
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,29.0,0.0,3.5,-1.7499999999999991,-1.7500000000000016,2.155935186065948,335f6d72153c07c5948b029e14cf6186e4a1f638abc52581b987c9990d8ad386,4ab64c18312493df0b08c2156ce93783ed682f590a45dfeabfa0302c9d879a2d
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,32.0,3.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,1.924583310132027,a47ffda1150550242f007a3c2eab481783e3cba71d652651bcafe04fa881afa1,908adc879156fc8bace5619ac25be490bb6495b3a407fa2a1c4ed8b1af181cf4
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,35.0,6.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,2.976684765317741,c9564f9abd7fd3ab5e10b9bd7886ce7235ab0f05ac0c93273442f49705b30e90,ab92e9ef9914150c827cc70befb722462b4af8a16d51d54be3777f715eb9b92e
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,38.0,9.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,3.425342990484824,2c1b167f9d50aecf9e73464799d703e9f54874e58784f9796ad9a97635f70f56,a9067ce71b19e52f8f00e7cb8e374086af00044a3b9386e7fa3f34e3dd6807e4
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,41.0,12.0,2.341957122256004,1.081559480312316,-3.42351660256832,3.412682618086104,cf678726fc9f9d4a890c24f9c1072ca5df4fa95a2b42ffe80eb39b483aa14bd6,5be6e063be6929472ca1d9d423c1dabd8cbf59cea67b9d712821d7923436584c
009ddc00d5a6dd35a3d95dfe4437fe767088660b67a65015729d776f58e1d16e,train,44.0,15.0,1.7500000000000004,1.7500000000000004,-3.5,2.160592774185927,206e731ff2877c2fa15fd365441257819e4ab57d66a50cdf5aa5e746610ae9fc,40315b8ee9e9e4434d9669be09aeb5511c5cd55da197a12019fd79371555b785
00a8e06a2172351ed663fa1588c954233535c9ddb780fe7297dc1fd62b93f5f5,train,29.0,0.0,3.5,-1.7499999999999991,-1.7500000000000016,1.243646329454321,371d71a7595f6ad50e670e605a87bb470cd3a05b88ff69e05156ffddf2f7c7b5,bfe39c44b0f9addeac65bfacdb344566b803006fb6ee85442edcccd71eb98902
