gene_id,bits,source,family_id,split_role,generator_parameters,seed,parent_old_index,parameter_regime,selection_method,selection_rank,selection_distance_squared,display_region_id,experiment_groups,magnet_cells,raw_bits,raw_gene_id,repair_changed_cells,repair_passes,magnet_area_sector_mm2,magnet_area_full_motor_mm2,status
2f11237af2e7b87c49e40df84a1dfa22937d37a19ae6e901180e4259b57e76cc,000000000100000010000000000011000000000011000100001100000000000000000000000000000000011000000000000000000110011000010000,U,expansion_f1_v1/U/test/field_13/attempt_0,test,"{""attempt"": 0, ""m"": 21}",3043927880164158447,,same_range,,,,,f1_expansion,16,000000000100000010000000000011100000000011100100001100000000000000000100100000000000011000000000100000000110011000010000,39a9ec6c7b4277b73a3f89d6b197b01c39153a13fa51a7f7f1501374e6e8eaf6,5,1,15.33374206699732,61.33496826798928,pending
c2aa016a4f77f3ed4199d8b9d414a1c7e11478dfd1f861a67f771166fbab1388,000000000000000011010000100000000000000000000000000000001100000000000000000000110001011110001000000000000000000000000000,U,expansion_f1_v1/U/test/field_14/attempt_0,test,"{""attempt"": 0, ""m"": 22}",3043927880164158447,,same_range,,,,,f1_expansion,14,000001000000000011010000100000001000000001010000000000101100000000000000000100110001011110001000000000001000000000010000,929c860fba713be3295c5456113b9a993429bc99762f8fa88a6b8c630b54208d,8,1,13.285130751249842,53.140523004999366,pending
9cfd3f113fe068d602e5cae241f77562722d6de22cb73eda32c4b666b1f4f387,100110101100000110100101100110011111101101010100100010010011001100110011111010000000010000100000010100111010110000111100,U,expansion_f1_v1/U/test/field_15/attempt_0,test,"{""attempt"": 0, ""m"": 55}",3043927880164158447,,same_range,,,,,f1_expansion,54,100110101100000110100101100110011111101101010100100010010011001100110011111010000000010100100001010100111010110000011100,9ec22634312d48a20139c4b81dab76a25ce7a8e188e2c28ffb13d5489f55dbf3,3,1,51.091911689251965,204.36764675700786,pending
3bb169011c680ad8c70c3d95adb8435b8053c6231468b69bbfaa5c2836bc6333,010011100000100100101110000111100000010010100110000000000000000000010000010011001000010100011010010001010000110000110000,U,expansion_f1_v1/U/test/field_16/attempt_0,test,"{""attempt"": 0, ""m"": 39}",3043927880164158447,,same_range,,,,,f1_expansion,36,010011100000100100101110000111100000010010100110000000001010000000010000010011001000010100011010010001010000110101010000,f892a57f1da3b453c0278c36837909d34b0fcc5675b216abd817e71e0b925c50,5,1,34.06668547723966,136.26674190895864,pending
37583878d9a3071ee907e57bde6dc0930fa2fd2167a7488ad79b4d104d0cb8c6,011111001111010011011100111110011110011111011111101111101111111111111111011110011101111011101001101000110101010110000111,U,expansion_f1_v1/U/test/field_17/attempt_0,test,"{""attempt"": 0, ""m"": 81}",3043927880164158447,,same_range,,,,,f1_expansion,84,011101001111010011011100111110011110011111011111101011101110111111111111011110011101111011101001101000110101010110000111,85fc7143b64466763aebcb5581603e876979829c034a57a1126ccecc36567380,3,1,80.1328438910921,320.5313755643684,pending
82d7b181bf2e5881cd239198a9010e3599456ad7864f778b1967564b24ceac3c,010100011000010000010000000000000000000000010010100101001011000010000000010101011011001000000000000000000000000100000100,U,expansion_f1_v1/U/test/field_18/attempt_0,test,"{""attempt"": 0, ""m"": 28}",3043927880164158447,,same_range,,,,,f1_expansion,25,010100011000010000010100000000000000000000010010100101001011100010000000010101011011001000000000000000000000000100010100,850b76503f53a1355591a0b7b56c590f4e7a5c4e75ab78aa09810599d0b71617,3,1,23.83823864639587,95.35295458558348,pending
be248315419f620b90ac7c68f97a0fc3b346d6a7825d583f5bff93c349fbe935,111111111110111101100001101111111010101101101110110001110101100111110111110111110101110110110110100111101011100111101111,U,expansion_f1_v1/U/test/field_19/attempt_0,test,"{""attempt"": 0, ""m"": 82}",3043927880164158447,,same_range,,,,,f1_expansion,85,110111111110111101100001101111111010101101101110110001110101100111110111110111010101110110110110100111101011100111101101,b20b21b61c191ae2cbf90a99c00dafdfc131b0e5aad9abf4422f66436e20f077,3,1,80.78378932501829,323.13515730007316,pending
0e4d916a917cbba2f06301d579b741c1ba137ae1eef65a1f35a6fffcc3b152bc,000000000011000101000100000010001100001000000000010000100000000000000000000000000000000000000000000000000000000000000000,U,expansion_f1_v1/U/test/field_20/attempt_0,test,"{""attempt"": 0, ""m"": 19}",3043927880164158447,,same_range,,,,,f1_expansion,11,000000000011100101000100000010001100001000000000010000100001001000100000000000010000000000000000010000000001000000000100,9c54ea9e980697fb7a97713115c9752963ec7047d0e9e1c8156a33f539d2f206,8,1,10.536874841930922,42.14749936772369,pending
982b206d2a3f43f9615605ef5e6c89b5b5a3c9ec80104f0ac7f7776d5aca158f,010100010100101010000000000000000101000101101001010011010100000001011001011010011101100100111000010000000001011011001100,U,expansion_f1_v1/U/test/field_21/attempt_0,test,"{""attempt"": 0, ""m"": 44}",3043927880164158447,,same_range,,,,,f1_expansion,43,010101010100101010000000000000000101000101101001010011010100000001011001011010011101100100111000010000000001011011001100,d9d59fa8fa93299b69967fba0fac9154e984bef2ee0948e5eecd0c0a77ef0f37,1,1,40.96086317769889,163.84345271079556,pending
76e93c6d755115a6b81cbbd5efd3af7b9818c5342ba6c79d541763b90f270d5f,000001100001100100011010000000001000011110001000110010101010010000000000000100000100001000000000010000011011100000010111,U,expansion_f1_v1/U/test/field_22/attempt_0,test,"{""attempt"": 0, ""m"": 37}",3043927880164158447,,same_range,,,,,f1_expansion,34,001001100001100100011010000000001000011110001000110010101010010000000000000101000100101000000000010000011011100000010111,6e8bc4dcdc994b7d387ac5b74a8de1c332966434b09bdf839b191ca9e811d211,3,1,32.26156995971887,129.04627983887548,pending
2af72e595fac8caf359509ba8c630b1b2290449c4cde00b98d73b59700f9582f,000000100000111000000100001000001100011000001000010000100001100010001110110100000000000000000000000000000101010110001011,U,expansion_f1_v1/U/test/field_23/attempt_0,test,"{""attempt"": 0, ""m"": 33}",3043927880164158447,,same_range,,,,,f1_expansion,30,000000100000111000000100001001001100011000001000010000100001100010001110110100000000001000100000000000000101010110001011,96a654d946c801b2e7c0cf508f2db6d4c6b0af6a41a6dd5013913dad827be8d1,3,1,28.42407617966585,113.6963047186634,pending
4da556dcf7331feff9542f81bcbb204e4026ab3810370467d13f91632f73f8fb,111111111111111111111111111111111111111111110000111111111111111111111111101111101111111111111111111111111111111111111111,U,expansion_f1_v1/U/test/field_24/attempt_0,test,"{""attempt"": 0, ""m"": 105}",3043927880164158447,,same_range,,,,,f1_expansion,114,011101111111111011111111111111101111111111110000111111111111111111111111101101101111111101111111111110111111011110111111,7f3a80b742f4c84f1b213bf8bb06b05f7ebe89c8820b714531393808ccb4293b,9,1,108.42705564503694,433.7082225801478,pending
