role,source,target,n,mae_nm,rmse_nm,median_abs_nm,p90_abs_nm,p95_abs_nm,max_abs_nm,bias_nm,r2,spearman,na_note
train_G,P,tavg,52,0.01862987135561332,0.02609390844738358,0.012092844797400248,0.04276980438201233,0.056422023765674255,0.08264782777457214,-0.004880634346733231,0.9951510031758769,0.9915478528131135,
train_G,P,delta_t,52,0.04354046372974349,0.07307626668990487,0.02933700001211914,0.06842436368718618,0.11736398604945436,0.32541252349313887,-0.030926568192963452,0.9677692551888321,0.9922308546059934,
train_F,all,tavg,1400,0.16527411721688992,0.2742590047457331,0.07302223494444204,0.4501566396838951,0.6663580267858668,1.1885411483028545,0.07198303639929815,0.92298533806775,0.9946374268445484,
train_F,all,delta_t,1400,0.17095956324635272,0.31292780938860987,0.07281428736130802,0.43751773297883667,0.6868714248647028,1.9541960095108575,-0.1484631521624995,0.7450023308353613,0.9770748820444856,
train_F,U,tavg,281,0.15963056142267956,0.2917428715521494,0.05085584068250171,0.4838558790781805,0.7493755347164404,1.1885411483028545,0.11828638986144399,0.9315610869218116,0.9991477716405494,
train_F,U,delta_t,281,0.066603072936714,0.10041244725389852,0.041900633683818356,0.15789712329562577,0.2183723351250444,0.519767594489092,-0.04426385935649367,0.9406063136326185,0.9820402111390167,
train_F,L,tavg,355,0.15137228996713312,0.2605165304249135,0.06078369733990163,0.4431619728297097,0.6365600217883426,1.0557784379421389,0.09978021604030363,0.9339056581295535,0.9979288291606315,
train_F,L,delta_t,355,0.1257000769061243,0.20196869264349335,0.06735222466343416,0.3079826411477202,0.4078424873541123,1.2285744839600117,-0.10412759746100528,0.856339830849436,0.982300534245563,
train_F,B,tavg,567,0.22940988539822177,0.3176770458905805,0.16448938301403548,0.5554396866319548,0.7198999541123986,1.0673637284386905,0.057340184234869265,0.9015017184598347,0.9926267072086485,
train_F,B,delta_t,567,0.29916383898990556,0.4585340911734892,0.17404217041809078,0.7410354368186517,1.0493435518286491,1.9541960095108575,-0.272975269634814,0.6244584239964222,0.9785879125418704,
train_F,P,tavg,197,0.013781768450502056,0.019360767288984584,0.009963915941419543,0.03242411354181192,0.041312961968120634,0.06526772781698931,-0.002010587550898497,0.9975990982366794,0.9981411771465228,
train_F,P,delta_t,197,0.03237817787170886,0.05357475541961306,0.021729880471005103,0.07342911939355297,0.09622088530922586,0.305421847458363,-0.018619256683899275,0.9765801954414737,0.9958377528086737,
dev_common,all,tavg,200,0.19154534722618188,0.33201282100803675,0.05426179827219402,0.69531562956436,0.8081131338919333,1.0294591233896688,0.13800123318868177,0.9119862196308364,0.9971829253486436,
dev_common,all,delta_t,200,0.09616322302572641,0.17507261911815414,0.04407953132267006,0.22422198370972107,0.39244478438091257,1.1990123968006277,-0.07191032075293063,0.8563346019525686,0.980018367966156,
dev_common,U,tavg,50,0.30002226536118515,0.44916118509941183,0.14595657828898068,0.8447232104155408,0.9331640520572955,1.0294591233896688,0.2672386885399305,0.8663066516660587,0.9949099639855942,
dev_common,U,delta_t,50,0.07166264755916085,0.09737251231939247,0.046038756304091155,0.14128020101272665,0.17724552004905839,0.3445710341404893,-0.03449878298988495,0.931815813796896,0.9602400960384153,
dev_common,L,tavg,50,0.16189386301578945,0.2892052011214582,0.06744554073777764,0.6521145188276569,0.7402709546244162,0.8764428461050919,0.0942383891175479,0.9363571041021805,0.9969267707082833,
dev_common,L,delta_t,50,0.09351758787163122,0.14758131331792504,0.0608029853233687,0.1855623108062501,0.2873976269238804,0.6880497165668813,-0.07250835543574975,0.8865779515626329,0.9757022809123649,
dev_common,B,tavg,50,0.2963247294178427,0.3942556889143464,0.21950864258170832,0.702235336342381,0.7902689111754905,0.9137200792611491,0.18873382437176822,0.8810176179136976,0.9891714089624023,
dev_common,B,delta_t,50,0.20113740850369907,0.3012427231308552,0.13481406563055676,0.46296795694383813,0.5999894510728472,1.1990123968006277,-0.16962822085378548,0.7342118523869878,0.9723409363745497,
dev_common,P,tavg,50,0.007940531109910096,0.01034825869030495,0.006613319974257292,0.015793632479733113,0.019345320043145247,0.03452131771274547,0.0017940307254804776,0.9989932814476062,0.9981752701080432,
dev_common,P,delta_t,50,0.018335248168414597,0.024348704775289238,0.011769504774398865,0.04578177468978888,0.05028294858054694,0.06509449520864674,-0.011005923732302381,0.9907926254837682,0.9937575030012005,
train_union,all,tavg,2699,0.1502246656883772,0.2466534018840985,0.05928483409057694,0.4218900392072757,0.5650809337536487,1.1885411483028545,0.09577507191564283,0.9370790949911856,0.9956021700567843,
train_union,all,delta_t,2699,0.11934357610625543,0.23805389859496995,0.04958342427008733,0.2902226277936144,0.4774098378302028,1.9541960095108575,-0.09483252557436707,0.8148817220708855,0.9831298640536754,
train_union,U,tavg,914,0.15613637568290187,0.2552389851300125,0.05344039348601093,0.43731849200336664,0.5586895419254245,1.1885411483028545,0.13819875579835644,0.9432389701018357,0.9987194944038855,
train_union,U,delta_t,914,0.052507095484379436,0.07782893297300299,0.034417291579323106,0.11672281154082756,0.16337833206040417,0.519767594489092,-0.026773826510548313,0.954120191966277,0.9844440256729675,
train_union,L,tavg,925,0.13339508137939665,0.2222915339528818,0.05330267782233067,0.3768880416149081,0.5317018986041219,1.0557784379421389,0.10504832879361879,0.9449438002855836,0.9980165247042241,
train_union,L,delta_t,925,0.0965096736822937,0.16200161135670085,0.05072439088997527,0.2298147905181742,0.34819274715821114,1.2285744839600117,-0.07229950290442198,0.8926711407842634,0.9860518432952478,
train_union,B,tavg,614,0.2210809497564085,0.30957426439008673,0.15899542808752398,0.53739126776699,0.6993319264599557,1.0673637284386905,0.0580258235093304,0.9033797738056719,0.9924551559650935,
train_union,B,delta_t,614,0.2872799424684366,0.44632640613144786,0.16438120312116578,0.7103111840990063,1.0257259999110895,1.9541960095108575,-0.2597359654153454,0.6390643818826303,0.9784223375164391,
train_union,P,tavg,246,0.014689316635695247,0.020781214676846096,0.010587421979207035,0.03306075323328894,0.04366832965139322,0.08264782777457214,-0.002497168569935262,0.9972196797531977,0.9982646897314236,
train_union,P,delta_t,246,0.03437192604194654,0.05793030118091101,0.023209455119388656,0.07077099727194858,0.10204129020322522,0.32541252349313887,-0.020840594077085974,0.9743147943149884,0.9960969066684401,
