setting,group,step,role,source,n,target,mae,rmse,r2,bias,absolute_error_p95
α=0.80,G-S,13500,dev_common,L,50,tavg,0.020292808484536594,0.023937643140692376,0.999563985922841,0.008097537143060602,0.04477530559292666
α=0.80,G-S,13500,dev_common,L,50,delta_t,0.049135602347484764,0.06119846820949973,0.9804963520637524,-0.007668882367035602,0.11982148450441019
α=0.80,G-S,13500,dev_common,B,50,tavg,0.02658669115991124,0.0331531672988942,0.999158649857837,0.013040965675784357,0.06611740389074754
α=0.80,G-S,13500,dev_common,B,50,delta_t,0.06294954263392262,0.07400213045212196,0.9839604962863121,0.00550000304224115,0.13440005056373
α=0.80,G-S,13500,dev_common,P,50,tavg,0.011318436315269475,0.013790384611427337,0.9982121697721169,0.0018626165981306241,0.026913576857308216
α=0.80,G-S,13500,dev_common,P,50,delta_t,0.036591879185837554,0.04312450757211388,0.9711176598206187,-0.009951252921602918,0.07375915075200101
α=0.80,F-S,9500,old_validation,all,6483,tavg,0.00939607699307582,0.014025738544205005,0.9984340040920289,0.002721184053557827,0.024860334396362295
α=0.80,F-S,9500,old_validation,all,6483,delta_t,0.027706078863793938,0.037120676585260366,0.9632398598769237,0.0024817880124115713,0.07405488938093183
α=0.80,F-S,9500,dev_common,all,200,tavg,0.014806844991572844,0.01885986828791405,0.9997160000415128,0.005218990294509103,0.03819141244437524
α=0.80,F-S,9500,dev_common,all,200,delta_t,0.04144767061246994,0.05339699995380805,0.9866356008698313,-0.004403484547209734,0.10733575991778785
α=0.80,F-S,9500,dev_common,U,50,tavg,0.01434328209555649,0.01899776046558076,0.9997608280869592,0.006001823019453159,0.038248021513519276
α=0.80,F-S,9500,dev_common,U,50,delta_t,0.05095048721451712,0.06354535488090016,0.9709612091032392,-0.017891479668523412,0.11180827884718254
α=0.80,F-S,9500,dev_common,L,50,tavg,0.015529615028429502,0.018717627078241303,0.9997334127864929,0.005736423117944636,0.03320890226856231
α=0.80,F-S,9500,dev_common,L,50,delta_t,0.04010844404617748,0.05466604298552259,0.9844378347740267,-0.0022007799715010865,0.12069102368301754
α=0.80,F-S,9500,dev_common,B,50,tavg,0.016797496979698935,0.021342463516406982,0.9996513290079182,0.005803991436434993,0.044757330361794787
α=0.80,F-S,9500,dev_common,B,50,delta_t,0.03772082161234687,0.049590871160200035,0.9927971237079617,0.009544922354241423,0.0892542635235449
α=0.80,F-S,9500,dev_common,P,50,tavg,0.012556985862606456,0.016000416002498356,0.9975932218124736,0.0033337236042036223,0.030390186513598698
α=0.80,F-S,9500,dev_common,P,50,delta_t,0.0370109295768383,0.04380999350839716,0.9701921632881872,-0.007066600903055859,0.07380042902715382
α=0.50,G-S,15000,old_validation,all,6483,tavg,0.008669330568826992,0.01328413271404784,0.9985952289241183,-0.00048158756472640394,0.02286443710327148
α=0.50,G-S,15000,old_validation,all,6483,delta_t,0.027262174602659436,0.036491530526036355,0.9644753711475472,-0.0006281866624631871,0.07314935326576233
α=0.50,G-S,15000,dev_common,all,200,tavg,0.015048724497864414,0.019430412838651483,0.9996985571257903,-0.0008758135156105265,0.039906399787102004
α=0.50,G-S,15000,dev_common,all,200,delta_t,0.04980155387988077,0.0634811068735883,0.9811111853997151,-0.007400594884228701,0.1289832439887808
α=0.50,G-S,15000,dev_common,U,50,tavg,0.014125976588134335,0.018246876516372038,0.9997793609249316,-0.001957456994584927,0.03761718583408711
α=0.50,G-S,15000,dev_common,U,50,delta_t,0.05035653713052068,0.06408919203378508,0.9704620396218897,-0.012121075627709966,0.12345838813825923
α=0.50,G-S,15000,dev_common,L,50,tavg,0.015409071485784938,0.019078902553529502,0.9997230224851897,-0.0015778726507931573,0.03435503434726812
α=0.50,G-S,15000,dev_common,L,50,delta_t,0.04672529228259758,0.060851011112889535,0.9807171890757045,-0.0068184602827040895,0.13015319536813413
α=0.50,G-S,15000,dev_common,B,50,tavg,0.020140235059667947,0.02533111878278975,0.9995088258922585,9.823667950750292e-05,0.046322853620598625
α=0.50,G-S,15000,dev_common,B,50,delta_t,0.06549712245195122,0.07978481971959954,0.9813558316046942,0.0057769792700014646,0.14326524564528542
α=0.50,G-S,15000,dev_common,P,50,tavg,0.010519614857870434,0.013097525273238526,0.9983873058570042,-6.616109657152425e-05,0.025007655360578893
α=0.50,G-S,15000,dev_common,P,50,delta_t,0.036627263654453616,0.04408532831782441,0.9698163163969773,-0.01643982289650221,0.07189818254156356
α=0.50,F-S,0,old_validation,all,6483,tavg,0.009255197631821815,0.013808864958956212,0.9984820582358058,0.0015571892270699118,0.024638414382934567
α=0.50,F-S,0,old_validation,all,6483,delta_t,0.02634946923727664,0.03555154321641548,0.9662819612049146,0.002546610359804104,0.07118640542030334
