relative_path,absolute_path,reader,version,read_status,variable_count,candidate_count,error
IA_test/best_result_20260106_151138.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260106_151138.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260106_224059.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260106_224059.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260108_181234.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260108_181234.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260108_231323.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260108_231323.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260110_195804.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260110_195804.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260111_184658.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260111_184658.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260112_211205.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260112_211205.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260113_190201.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260113_190201.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260116_163434.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260116_163434.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260116_200125.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260116_200125.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260117_234227.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260117_234227.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260118_224448.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260118_224448.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260118_224518.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260118_224518.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0103 groupB/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0103 groupB\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0103 groupB/best_result_20260103_164233.mat,C:\Users\26096\Desktop\em\FP\IA_test\0103 groupB\best_result_20260103_164233.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0104 groupA/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0104 groupA\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/0104 groupA/best_result_20260105_081953.mat,C:\Users\26096\Desktop\em\FP\IA_test\0104 groupA\best_result_20260105_081953.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/0104 groupB/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\0104 groupB\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
