file,variable_path,variable_name,shape,dtype,reason
IA_test_Float/0228 70gen-140gen/trace_all_20260301_224723.mat,ctx/domain/design_mask,design_mask,"(18, 10)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0228 70gen-140gen/trace_all_20260301_224723.mat,ctx/groupId_design,groupId_design,"(1, 1)",float64,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/best_bits_coarse.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 160gen-200gen/best_bits_coarse.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 160gen-200gen/best_bits_coarse.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/best_bits_coarse.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/best_bits_coarse.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,J_hist,J_hist,"(20,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,best_bits_hist,best_bits_hist,"(20, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,J_hist,J_hist,"(1, 20)",float64,变量名/完整路径包含性能或设计关键词: j_hist
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,J_hist_all,J_hist_all,"(10, 20)",float64,变量名/完整路径包含性能或设计关键词: j_hist
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,best_bits_hist,best_bits_hist,"(180, 20)",float64,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,ctx/domain/design_idx,design_idx,"(1, 180)",float64,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,ctx/domain/design_mask,design_mask,"(18, 10)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,ctx/groupId_design,groupId_design,"(1, 1)",float64,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 300gen/best_bits_coarse.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 300gen/best_bits_coarse.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 300gen/best_bits_coarse.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 300gen/best_bits_coarse.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 300gen/best_bits_coarse.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,J_hist,J_hist,"(100,)",float64,变量名/完整路径包含性能或设计关键词: j_hist
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,bestOverall,bestOverall,(),float64,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,best_bits,best_bits,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,best_bits_hist,best_bits_hist,"(100, 180)",uint8,变量名/完整路径包含性能或设计关键词: best
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,ctx.domain.design_mask,design_mask,"(10, 18)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,ctx.domain.design_idx,design_idx,"(180,)",uint8,变量名/完整路径包含性能或设计关键词: design
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,ctx.groupId_design,groupId_design,(),int64,变量名/完整路径包含性能或设计关键词: design
