relative_path,absolute_path,encoding,read_status,format,frequency,precision,min_angle,depth,length_unit,problem_type,coordinates,point_count,boundary_count,material_count,circuit_count,node_count,segment_count,arc_count,block_label_count,material_names,assigned_material_names,circuit_names,current_settings,magnetization_directions,geometry_bbox,model_center,geometry_signature,error
CLONALG/temp_airgap_scan.fem,C:\Users\26096\Desktop\em\FP\CLONALG\temp_airgap_scan.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,8,16,3,161,162,9,18,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A|B|C,"[{""name"":""A"",""current_re"":""1.0715659492539341e-015""},{""name"":""B"",""current_re"":""3.0310889132455356""},{""name"":""C"",""current_re"":""-3.0310889132455352""}]","[0.0,1.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",0d4c9d0744060d279af277922aa85078978bce6da1d810d9df13890d6c41c852,
CLONALG/test.fem,C:\Users\26096\Desktop\em\FP\CLONALG\test.fem,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,17,7,6,1499,933,846,552,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""-8.6602540378443873""},{""name"":""C+"",""current_re"":""8.6602540378443855""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""8.6602540378443873""},{""name"":""C-"",""current_re"":""-8.6602540378443855""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",a30df00122e816b3c15bf108a720fb580c7b29bc496fb017e5ad4e684c4c41d8,
IA_test/best_J0.080216_20260110_195804.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.080216_20260110_195804.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1838,1608,264,360,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",8b6d9cf0347029982a816fb8b5455c5fa2f16b7d68ea63628817a3be9f033a52,
IA_test/best_J0.080216_20260111_184658.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.080216_20260111_184658.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1838,1608,264,360,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",8b6d9cf0347029982a816fb8b5455c5fa2f16b7d68ea63628817a3be9f033a52,
IA_test/best_J0.082148_20260108_181234.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.082148_20260108_181234.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1790,1572,252,348,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",efd36b43a923897f83c8e3cf27d7ca85a500b665c86dfacf6e9ca32ffc8f0c3c,
IA_test/best_J0.082148_20260108_231323.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.082148_20260108_231323.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1790,1572,252,348,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",efd36b43a923897f83c8e3cf27d7ca85a500b665c86dfacf6e9ca32ffc8f0c3c,
IA_test/best_J0.106306_20260105_193139.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.106306_20260105_193139.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1790,1590,246,360,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",b7b6f6d18dae36dada8d551d8de482c7ccd1092fbbf0c256a115db9541a34a6c,
IA_test/best_J0.106306_20260106_151138.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.106306_20260106_151138.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1790,1590,246,360,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",b7b6f6d18dae36dada8d551d8de482c7ccd1092fbbf0c256a115db9541a34a6c,
IA_test/best_J0.106306_20260106_224059.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.106306_20260106_224059.fem,utf-8-sig,ok,4.0,0,1e-008,15,36,millimeters,planar,cartesian,0,26,7,6,1790,1590,246,360,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",b7b6f6d18dae36dada8d551d8de482c7ccd1092fbbf0c256a115db9541a34a6c,
IA_test/best_J0.113614_20260103_045247.fem,C:\Users\26096\Desktop\em\FP\IA_test\best_J0.113614_20260103_045247.fem,utf-8-sig,ok,4.0,0,1e-008,25,36,millimeters,planar,cartesian,0,26,7,6,1628,1458,192,306,Air|Pure Iron|Copper|N40|Air|N40|Air,Air|Copper|N40|Pure Iron,A+|B+|C+|A-|B-|C-,"[{""name"":""A+"",""current_re"":""0""},{""name"":""B+"",""current_re"":""0""},{""name"":""C+"",""current_re"":""0""},{""name"":""A-"",""current_re"":""0""},{""name"":""B-"",""current_re"":""0""},{""name"":""C-"",""current_re"":""0""}]","[0.0,1.0,30.0,31.0]","[0.0,0.0,74.0,74.0]","[37.0,37.0]",c3c603000ac0ab32b967ae754e992e66f0d97b2295b9553e53134db62039ba29,
