sample_id,fem_path,mat_path,match_score,match_status,matching_evidence,conflicting_evidence
SAMPLE_0048,IA_test/12.21 N3G10/w01/case_8513135f-ba52-4e31-afc6-966c01f1b3bc.fem,,11,unmatched,位于父子目录；修改时间相差 2.8 小时,最高候选分低于最低证据阈值
SAMPLE_0049,IA_test/12.21 N3G10/w01/case_924cd090-aa4f-49ba-8a04-282f6d2b4f1d.fem,,11,unmatched,位于父子目录；修改时间相差 3.2 小时,最高候选分低于最低证据阈值
SAMPLE_0050,IA_test/12.21 N3G10/w01/case_96dab361-cb17-4e91-a8eb-655d2308954d.fem,,11,unmatched,位于父子目录；修改时间相差 9.0 小时,最高候选分低于最低证据阈值
SAMPLE_0051,IA_test/12.21 N3G10/w01/case_a4dead31-1a55-488e-9fab-d4706f6eb981.fem,,11,unmatched,位于父子目录；修改时间相差 2.5 小时,最高候选分低于最低证据阈值
SAMPLE_0052,IA_test/12.21 N3G10/w01/case_a749e1e3-7a3a-4188-87da-d4e965f4a648.fem,,11,unmatched,位于父子目录；修改时间相差 1.2 小时,最高候选分低于最低证据阈值
SAMPLE_0053,IA_test/12.21 N3G10/w01/case_adb29ec9-52ac-44de-b362-c9583ca2d6b5.fem,,11,unmatched,位于父子目录；修改时间相差 9.2 小时,最高候选分低于最低证据阈值
SAMPLE_0054,IA_test/12.21 N3G10/w01/case_b7c711f4-abbd-4e3e-8ebb-c96276d96490.fem,,11,unmatched,位于父子目录；修改时间相差 1.4 小时,最高候选分低于最低证据阈值
SAMPLE_0055,IA_test/12.21 N3G10/w01/case_b7e3f609-1358-4c27-aab2-25e3b8eccf83.fem,,11,unmatched,位于父子目录；修改时间相差 4.3 小时,最高候选分低于最低证据阈值
SAMPLE_0056,IA_test/12.21 N3G10/w01/case_b96cec23-9ced-49cd-8cd5-b47aa69d4be2.fem,,11,unmatched,位于父子目录；修改时间相差 3.0 小时,最高候选分低于最低证据阈值
SAMPLE_0057,IA_test/12.21 N3G10/w01/case_bdd5c199-4644-4ed0-9e29-b1842e899ba6.fem,,11,unmatched,位于父子目录；修改时间相差 6.2 小时,最高候选分低于最低证据阈值
SAMPLE_0058,IA_test/12.21 N3G10/w01/case_bf3cd316-91b0-4ef9-aaa9-71ae850fcad1.fem,,11,unmatched,位于父子目录；修改时间相差 3.6 小时,最高候选分低于最低证据阈值
SAMPLE_0059,IA_test/12.21 N3G10/w01/case_c0c92f18-0cc9-47bb-92d3-3fa219d7f28e.fem,,11,unmatched,位于父子目录；修改时间相差 6.0 小时,最高候选分低于最低证据阈值
SAMPLE_0060,IA_test/12.21 N3G10/w01/case_c55d66e1-d6c1-495f-871d-c7b32467c15c.fem,,11,unmatched,位于父子目录；修改时间相差 10.6 小时,最高候选分低于最低证据阈值
SAMPLE_0061,IA_test/12.21 N3G10/w01/case_c5866522-4cf0-4a2a-b1a1-7cd7f573cc1a.fem,,11,unmatched,位于父子目录；修改时间相差 4.7 小时,最高候选分低于最低证据阈值
SAMPLE_0062,IA_test/12.21 N3G10/w01/case_d913c8cd-1263-4f0d-b05e-0a8fab3137c5.fem,,16,unmatched,位于父子目录；修改时间相差 26.3 分钟,最高候选分低于最低证据阈值
SAMPLE_0063,IA_test/12.21 N3G10/w01/case_dae5f276-1734-4152-ad34-77bd08daf795.fem,,16,unmatched,位于父子目录；修改时间相差 13.1 分钟,最高候选分低于最低证据阈值
SAMPLE_0064,IA_test/12.21 N3G10/w01/case_dc30fb28-b7bc-4faf-9a24-649f92b0e581.fem,,11,unmatched,位于父子目录；修改时间相差 10.0 小时,最高候选分低于最低证据阈值
SAMPLE_0065,IA_test/12.21 N3G10/w01/case_e33f1d2d-0d7e-4924-a9d0-3977d35a0b95.fem,,11,unmatched,位于父子目录；修改时间相差 3.9 小时,最高候选分低于最低证据阈值
SAMPLE_0066,IA_test/12.21 N3G10/w01/case_e4e2c761-d87a-4501-b0d7-4dc276a3fe44.fem,,11,unmatched,位于父子目录；修改时间相差 2.1 小时,最高候选分低于最低证据阈值
SAMPLE_0067,IA_test/12.21 N3G10/w01/case_e51f9061-5028-4304-bded-31ea0ccc434c.fem,,11,unmatched,位于父子目录；修改时间相差 10.2 小时,最高候选分低于最低证据阈值
SAMPLE_0068,IA_test/12.21 N3G10/w01/case_e7958f48-6565-488f-8a32-ed6e9fdbbbee.fem,,11,unmatched,位于父子目录；修改时间相差 5.2 小时,最高候选分低于最低证据阈值
SAMPLE_0069,IA_test/12.21 N3G10/w01/case_e89c0421-6da4-4e3b-ab9d-837f509f1cc5.fem,,11,unmatched,位于父子目录；修改时间相差 1.6 小时,最高候选分低于最低证据阈值
SAMPLE_0070,IA_test/12.21 N3G10/w02/blank_inset_9x5_w02.fem,,8,unmatched,位于父子目录,修改时间相差 2.4 天；最高候选分低于最低证据阈值
SAMPLE_0071,IA_test/12.21 N3G10/w02/case_000001.fem,,11,unmatched,位于父子目录；修改时间相差 11.5 小时,最高候选分低于最低证据阈值
SAMPLE_0072,IA_test/12.21 N3G10/w02/case_0704aed2-95f7-4488-b805-9fdc1df2a4b9.fem,,16,unmatched,位于父子目录；修改时间相差 49.3 分钟,最高候选分低于最低证据阈值
SAMPLE_0073,IA_test/12.21 N3G10/w02/case_07d06f9c-23de-489a-aa10-cde663a9bcea.fem,,11,unmatched,位于父子目录；修改时间相差 5.4 小时,最高候选分低于最低证据阈值
SAMPLE_0074,IA_test/12.21 N3G10/w02/case_10bdf2e7-6933-4a50-8be9-536a0f4dfc6a.fem,,11,unmatched,位于父子目录；修改时间相差 9.2 小时,最高候选分低于最低证据阈值
SAMPLE_0075,IA_test/12.21 N3G10/w02/case_17c5fdbd-2370-4744-80bf-2a2f0a287340.fem,,11,unmatched,位于父子目录；修改时间相差 3.0 小时,最高候选分低于最低证据阈值
SAMPLE_0076,IA_test/12.21 N3G10/w02/case_1a903502-eae2-44aa-b20d-f5a319beef36.fem,,11,unmatched,位于父子目录；修改时间相差 1.6 小时,最高候选分低于最低证据阈值
SAMPLE_0077,IA_test/12.21 N3G10/w02/case_278f70c1-be87-474f-bd88-9270d1b9edf9.fem,,11,unmatched,位于父子目录；修改时间相差 4.3 小时,最高候选分低于最低证据阈值
SAMPLE_0078,IA_test/12.21 N3G10/w02/case_2cc7bc73-cd5f-4e19-869d-9b67a5b8b5af.fem,,11,unmatched,位于父子目录；修改时间相差 9.6 小时,最高候选分低于最低证据阈值
SAMPLE_0079,IA_test/12.21 N3G10/w02/case_2efb83d5-5d0b-458b-b718-044c34efdc44.fem,,11,unmatched,位于父子目录；修改时间相差 4.8 小时,最高候选分低于最低证据阈值
SAMPLE_0080,IA_test/12.21 N3G10/w02/case_3781bdbc-eb47-4019-9edd-e771f7eb5ab4.fem,,11,unmatched,位于父子目录；修改时间相差 2.8 小时,最高候选分低于最低证据阈值
