geometry_id,simulation_count,operating_point_count,confirmed_pair_count,fem_paths
GEOM_0090,1,1,0,IA_test/12.21 N3G10/w02/case_f101242a-3f2d-456a-82aa-760b9fc8948a.fem
GEOM_0091,1,1,0,IA_test/12.21 N3G10/w02/case_fea96c20-f768-4d65-83bf-57b62578b9b1.fem
GEOM_0092,1,1,0,IA_test/12.21 N3G10/w03/case_000001.fem
GEOM_0093,1,1,0,IA_test/12.21 N3G10/w03/case_0be1acca-91d2-4158-98fd-0fd1eb36f24d.fem
GEOM_0094,1,1,0,IA_test/12.21 N3G10/w03/case_1bb73884-c37c-428d-a599-1a10b170ec9a.fem
GEOM_0095,1,1,0,IA_test/12.21 N3G10/w03/case_271d3202-ee3a-4537-8732-f53064677824.fem
GEOM_0096,1,1,0,IA_test/12.21 N3G10/w03/case_2c3e8022-90a4-4ebd-9982-43ab040c88e4.fem
GEOM_0097,1,1,0,IA_test/12.21 N3G10/w03/case_30613252-6f1a-436a-953b-92a27e8260e4.fem
GEOM_0098,1,1,0,IA_test/12.21 N3G10/w03/case_3a8b1934-4441-4d43-b8e7-96228efff4aa.fem
GEOM_0099,1,1,0,IA_test/12.21 N3G10/w03/case_4e22798d-f32f-4a70-80e5-5c7771b2b351.fem
GEOM_0100,1,1,0,IA_test/12.21 N3G10/w03/case_5f3baec7-3278-4e43-8895-de6c543775e4.fem
GEOM_0101,1,1,0,IA_test/12.21 N3G10/w03/case_64b66201-8dd1-4c2d-afdb-407e2222b655.fem
GEOM_0102,1,1,0,IA_test/12.21 N3G10/w03/case_73a80977-7d67-41bf-95e0-c05f40cbb9e2.fem
GEOM_0103,1,1,0,IA_test/12.21 N3G10/w03/case_7e438ca1-c59d-463a-a10a-6d04b6f3b09e.fem
GEOM_0104,1,1,0,IA_test/12.21 N3G10/w03/case_94e02f76-4578-4c74-aac4-25161d0050e0.fem
GEOM_0105,1,1,0,IA_test/12.21 N3G10/w03/case_a01e7cd3-4286-4e0f-9ec1-71ba10d5645d.fem
GEOM_0106,1,1,0,IA_test/12.21 N3G10/w03/case_ac9126e5-a9bf-4997-929a-0d9737c68413.fem
GEOM_0107,1,1,0,IA_test/12.21 N3G10/w03/case_af6a0094-c542-4d31-a44b-c2971979232f.fem
GEOM_0108,1,1,0,IA_test/12.21 N3G10/w03/case_bab7e4ee-c4d4-4c2c-b4db-3d29785844db.fem
GEOM_0109,1,1,0,IA_test/12.21 N3G10/w03/case_c63bcd95-e4d0-47e8-a21b-734be9388415.fem
GEOM_0110,1,1,0,IA_test/12.21 N3G10/w03/case_d0c2449e-f195-4d56-bb73-93d6dd49fe0d.fem
GEOM_0111,1,1,0,IA_test/12.21 N3G10/w03/case_d8083771-02f6-4dce-afe8-5233bf3f66fe.fem
GEOM_0112,1,1,0,IA_test/12.21 N3G10/w03/case_dae3b9ab-a5df-434c-966d-77e470159d02.fem
GEOM_0113,1,1,0,IA_test/12.21 N3G10/w03/case_e7bd6b47-d4fd-4718-866b-61937b1aaa14.fem
GEOM_0114,2,1,0,IA_test/1225/best_J0.177345_20251225_205238.fem|IA_test_groupA/1225/best_J0.177345_20251225_205238.fem
GEOM_0115,2,1,0,IA_test/1226/best_J0.234241_20251226_165530.fem|IA_test_groupA/1226/best_J0.234241_20251226_165530.fem
GEOM_0116,2,1,0,IA_test/1227.1/best_J0.239788_20251227_151645.fem|IA_test_groupA/1227.1/best_J0.239788_20251227_151645.fem
GEOM_0117,2,1,0,IA_test/1227.2/best_J0.147733_20251228_001658.fem|IA_test_groupA/1227.2/best_J0.147733_20251228_001658.fem
GEOM_0118,2,1,0,IA_test/1228/best_J0.222504_20251229_005752.fem|IA_test_groupA/1228/best_J0.222504_20251229_005752.fem
GEOM_0119,2,1,0,IA_test/1229/best_J0.238035_20251229_221434.fem|IA_test_groupA/1229/best_J0.238035_20251229_221434.fem
GEOM_0120,2,1,0,IA_test/1231/best_J0.145728_20251231_192359.fem|IA_test_groupA/1231/best_J0.145728_20251231_192359.fem
GEOM_0121,3,1,0,IA_test/best_J0.113614_20260103_045247.fem|IA_test/无优化组/best_J0.113614_20260103_045247.fem|IA_test_groupA/best_J0.113614_20260103_045247.fem
GEOM_0122,3,1,0,IA_test/best_J0.238035_20251229_211603.fem|IA_test/无优化组/best_J0.238035_20251229_211603.fem|IA_test_groupA/best_J0.238035_20251229_211603.fem
GEOM_0123,3,1,0,IA_test/best_J0.257147_20251228_164352.fem|IA_test/无优化组/best_J0.257147_20251228_164352.fem|IA_test_groupA/best_J0.257147_20251228_164352.fem
GEOM_0124,3,1,0,IA_test/新建文件夹/temp_airgap_scan.fem|IA_test_groupA/新建文件夹/temp_airgap_scan.fem|免疫算法测试/新建文件夹/temp_airgap_scan.fem
GEOM_0125,1,1,0,IA_test/无优化组/best_J2.16323_20260103_182158.fem
GEOM_0126,3,1,0,IA_test/设计/blank.FEM|IA_test_groupA/设计/blank.FEM|免疫算法测试/设计/blank.FEM
GEOM_0127,1,1,0,IA_test_Float/0227 30gen/best_J0.120593_20260227_125153.fem
GEOM_0128,1,1,0,IA_test_Float/0228 50gen/best_J0.114586_20260228_124726.fem
GEOM_0129,3,1,0,IA_test_Float/0228 70gen-140gen/best_J0.113564_20260228_180032.fem|IA_test_Float/0228 70gen-140gen/best_J0.113564_20260301_172121.fem|IA_test_Float/0228 70gen-140gen/best_J0.113564_20260301_224723.fem
GEOM_0130,1,1,0,IA_test_Float/0228 70gen-140gen/groupF 100gen.fem
GEOM_0131,1,1,0,IA_test_Float/0302 160gen-200gen/best_J0.111733_20260302_114631.fem
GEOM_0132,1,1,0,IA_test_Float/0302 300gen/best_J0.105091_20260302_173331.fem
GEOM_0133,2,1,0,IA_test_Float/0302 400gen-500gen/best_J0.0980357_20260302_213720.fem|IA_test_Float/0303 700gen/best_J0.0980357_20260303_161511.fem
GEOM_0134,1,1,0,IA_test_Float/0303 700gen/best_J0.0961933_20260303_215010.fem
GEOM_0135,1,1,0,IA_test_Float/0304 800gen/best_J0.092999_20260304_220254.fem
GEOM_0136,3,1,0,IA_test_Float/0305 900gen/best_J0.0924955_20260305_173935.fem|IA_test_Float/best_J0.0924955_20260306_174158.fem|免疫算法测试/03.10/best_J0.0924955_20260306_174158.fem
