model_id,evaluation_set,target,metric,mean,std
xy90_224/vgg16_v2,full_test,tavg,normalized_mae_by_actual_range,0.004010719774793286,0.0
xy90_224/vgg16_v2,full_test,tavg,bias,0.0038258800825807173,0.0
xy90_224/vgg16_v2,full_test,tavg,calibration_slope_predicted_vs_actual,0.9836103331564082,0.0
xy90_224/vgg16_v2,full_test,tavg,calibration_intercept_nm,0.05462400863827345,0.0
xy90_224/vgg16_v2,full_test,tavg,absolute_error_p50,0.005641937255859375,0.0
xy90_224/vgg16_v2,full_test,tavg,absolute_error_p90,0.017301654815673834,0.0
xy90_224/vgg16_v2,full_test,tavg,absolute_error_p95,0.02470707893371582,0.0
xy90_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_05_nm,0.9864260373283974,0.0
xy90_224/vgg16_v2,full_test,tavg,fraction_absolute_error_le_0_10_nm,0.9983032546660496,0.0
xy90_224/vgg16_v2,full_test,delta_t,mae,0.013302492857848203,0.0
xy90_224/vgg16_v2,full_test,delta_t,rmse,0.02179303267532958,0.0
xy90_224/vgg16_v2,full_test,delta_t,r2,0.9871815596418129,0.0
xy90_224/vgg16_v2,full_test,delta_t,normalized_mae_by_actual_range,0.009625793081605655,0.0
xy90_224/vgg16_v2,full_test,delta_t,bias,-0.0007113972140070135,0.0
xy90_224/vgg16_v2,full_test,delta_t,calibration_slope_predicted_vs_actual,0.9816295643160203,0.0
xy90_224/vgg16_v2,full_test,delta_t,calibration_intercept_nm,0.0067510976598706566,0.0
xy90_224/vgg16_v2,full_test,delta_t,absolute_error_p50,0.00957643985748291,0.0
xy90_224/vgg16_v2,full_test,delta_t,absolute_error_p90,0.026155459880828867,0.0
xy90_224/vgg16_v2,full_test,delta_t,absolute_error_p95,0.033545225858688354,0.0
xy90_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_05_nm,0.9804103038716644,0.0
xy90_224/vgg16_v2,full_test,delta_t,fraction_absolute_error_le_0_10_nm,0.993521517815826,0.0
polar90_224/vgg16_v2,full_validation,both,standardized_mse,0.005224786694759922,0.0
polar90_224/vgg16_v2,full_validation,tavg,mae,0.006412123795598745,0.0
polar90_224/vgg16_v2,full_validation,tavg,rmse,0.011521878652274609,0.0
polar90_224/vgg16_v2,full_validation,tavg,r2,0.9989432096481323,0.0
polar90_224/vgg16_v2,full_validation,tavg,normalized_mae_by_actual_range,0.003110273275524378,0.0
polar90_224/vgg16_v2,full_validation,tavg,bias,0.0016038453904911876,0.0
polar90_224/vgg16_v2,full_validation,tavg,calibration_slope_predicted_vs_actual,0.9962616014539555,0.0
polar90_224/vgg16_v2,full_validation,tavg,calibration_intercept_nm,0.013188265311470364,0.0
polar90_224/vgg16_v2,full_validation,tavg,absolute_error_p50,0.0041790008544921875,0.0
polar90_224/vgg16_v2,full_validation,tavg,absolute_error_p90,0.011897278018295765,0.0
polar90_224/vgg16_v2,full_validation,tavg,absolute_error_p95,0.017270565032958984,0.0
polar90_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_05_nm,0.988431281813975,0.0
polar90_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_10_nm,0.9987660033934906,0.0
polar90_224/vgg16_v2,full_validation,delta_t,mae,0.01152037177234888,0.0
polar90_224/vgg16_v2,full_validation,delta_t,rmse,0.0185434240847826,0.0
polar90_224/vgg16_v2,full_validation,delta_t,r2,0.9908267259597778,0.0
polar90_224/vgg16_v2,full_validation,delta_t,normalized_mae_by_actual_range,0.007263712584972382,0.0
polar90_224/vgg16_v2,full_validation,delta_t,bias,-0.000847957911901176,0.0
polar90_224/vgg16_v2,full_validation,delta_t,calibration_slope_predicted_vs_actual,0.9852602719587106,0.0
polar90_224/vgg16_v2,full_validation,delta_t,calibration_intercept_nm,0.005177934497972121,0.0
polar90_224/vgg16_v2,full_validation,delta_t,absolute_error_p50,0.008270800113677979,0.0
polar90_224/vgg16_v2,full_validation,delta_t,absolute_error_p90,0.023124385625123978,0.0
polar90_224/vgg16_v2,full_validation,delta_t,absolute_error_p95,0.03004857525229454,0.0
polar90_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_05_nm,0.984729291994447,0.0
polar90_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_10_nm,0.993984266543267,0.0
polar90_224/vgg16_v2,full_test,both,standardized_mse,0.006491925872930022,0.0
polar90_224/vgg16_v2,full_test,tavg,mae,0.006515256990423619,0.0
polar90_224/vgg16_v2,full_test,tavg,rmse,0.01204536067238548,0.0
polar90_224/vgg16_v2,full_test,tavg,r2,0.9988573915335063,0.0
polar90_224/vgg16_v2,full_test,tavg,normalized_mae_by_actual_range,0.003083544548644954,0.0
polar90_224/vgg16_v2,full_test,tavg,bias,0.0016485692431267335,0.0
polar90_224/vgg16_v2,full_test,tavg,calibration_slope_predicted_vs_actual,0.99713154063645,0.0
polar90_224/vgg16_v2,full_test,tavg,calibration_intercept_nm,0.010539071344050894,0.0
polar90_224/vgg16_v2,full_test,tavg,absolute_error_p50,0.004191398620605469,0.0
polar90_224/vgg16_v2,full_test,tavg,absolute_error_p90,0.01207728385925293,0.0
